/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_scaffolds.fasta
scaffold_351	scaffold_seqid294
scaffold_352	scaffold_seqid295
scaffold_353	scaffold_seqid296
scaffold_354	scaffold_seqid297
scaffold_355	scaffold_seqid298
scaffold_356	scaffold_seqid299
scaffold_357	scaffold_seqid300
scaffold_358	scaffold_seqid301
scaffold_359	scaffold_seqid302
scaffold_360	scaffold_seqid303
scaffold_361	scaffold_seqid304
scaffold_362	scaffold_seqid305
scaffold_363	scaffold_seqid306
scaffold_364	scaffold_seqid307
scaffold_365	scaffold_seqid308
scaffold_366	scaffold_seqid309
scaffold_367	scaffold_seqid310
scaffold_368	scaffold_seqid311
scaffold_369	scaffold_seqid312
scaffold_370	scaffold_seqid313
scaffold_371	scaffold_seqid314
scaffold_372	scaffold_seqid315
scaffold_373	scaffold_seqid316
scaffold_374	scaffold_seqid317
scaffold_375	scaffold_seqid318
scaffold_376	scaffold_seqid319
scaffold_377	scaffold_seqid320
scaffold_378	scaffold_seqid321
scaffold_379	scaffold_seqid322
scaffold_380	scaffold_seqid323
scaffold_381	scaffold_seqid324
scaffold_382	scaffold_seqid325
scaffold_383	scaffold_seqid326
scaffold_384	scaffold_seqid327
scaffold_385	scaffold_seqid328
scaffold_386	scaffold_seqid329
scaffold_387	scaffold_seqid330
scaffold_388	scaffold_seqid331
scaffold_389	scaffold_seqid332
scaffold_390	scaffold_seqid333
scaffold_391	scaffold_seqid334
scaffold_392	scaffold_seqid335
scaffold_393	scaffold_seqid336
scaffold_394	scaffold_seqid337
scaffold_395	scaffold_seqid338
scaffold_396	scaffold_seqid339
scaffold_397	scaffold_seqid340
scaffold_398	scaffold_seqid341
scaffold_399	scaffold_seqid342
scaffold_400	scaffold_seqid343
scaffold_401	scaffold_seqid344
scaffold_402	scaffold_seqid345
scaffold_403	scaffold_seqid346
scaffold_404	scaffold_seqid347
scaffold_405	scaffold_seqid348
scaffold_406	scaffold_seqid349
scaffold_407	scaffold_seqid350
scaffold_408	scaffold_seqid351
scaffold_409	scaffold_seqid352
scaffold_410	scaffold_seqid353
scaffold_411	scaffold_seqid354
scaffold_412	scaffold_seqid355
scaffold_413	scaffold_seqid356
scaffold_414	scaffold_seqid357
scaffold_415	scaffold_seqid358
scaffold_416	scaffold_seqid359
scaffold_417	scaffold_seqid360
scaffold_418	scaffold_seqid361
scaffold_419	scaffold_seqid362
scaffold_420	scaffold_seqid363
scaffold_421	scaffold_seqid364
scaffold_422	scaffold_seqid365
scaffold_423	scaffold_seqid366
scaffold_425	scaffold_seqid367
scaffold_426	scaffold_seqid368
scaffold_427	scaffold_seqid369
scaffold_428	scaffold_seqid370
scaffold_429	scaffold_seqid371
scaffold_430	scaffold_seqid372
scaffold_431	scaffold_seqid373
scaffold_432	scaffold_seqid374
scaffold_433	scaffold_seqid375
scaffold_434	scaffold_seqid376
scaffold_435	scaffold_seqid377
scaffold_436	scaffold_seqid378
scaffold_437	scaffold_seqid379
scaffold_438	scaffold_seqid380
scaffold_439	scaffold_seqid381
scaffold_440	scaffold_seqid382
scaffold_441	scaffold_seqid383
scaffold_442	scaffold_seqid384
scaffold_443	scaffold_seqid385
