/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta_contig.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_contigs.fasta
Contig_366	contig_seqid366
Contig_367	contig_seqid367
Contig_368	contig_seqid368
Contig_369	contig_seqid369
Contig_370	contig_seqid370
Contig_371	contig_seqid371
Contig_372	contig_seqid372
Contig_373	contig_seqid373
Contig_374	contig_seqid374
Contig_375	contig_seqid375
Contig_376	contig_seqid376
Contig_377	contig_seqid377
Contig_378	contig_seqid378
Contig_379	contig_seqid379
Contig_380	contig_seqid380
Contig_381	contig_seqid381
Contig_382	contig_seqid382
Contig_383	contig_seqid383
Contig_384	contig_seqid384
Contig_385	contig_seqid385
Contig_386	contig_seqid386
Contig_387	contig_seqid387
Contig_388	contig_seqid388
Contig_389	contig_seqid389
Contig_390	contig_seqid390
Contig_391	contig_seqid391
Contig_392	contig_seqid392
Contig_393	contig_seqid393
Contig_394	contig_seqid394
Contig_395	contig_seqid395
Contig_396	contig_seqid396
Contig_397	contig_seqid397
Contig_398	contig_seqid398
Contig_399	contig_seqid399
Contig_400	contig_seqid400
Contig_401	contig_seqid401
Contig_402	contig_seqid402
Contig_403	contig_seqid403
Contig_404	contig_seqid404
Contig_405	contig_seqid405
Contig_406	contig_seqid406
Contig_407	contig_seqid407
Contig_408	contig_seqid408
Contig_409	contig_seqid409
Contig_410	contig_seqid410
Contig_411	contig_seqid411
Contig_412	contig_seqid412
Contig_413	contig_seqid413
Contig_414	contig_seqid414
Contig_415	contig_seqid415
Contig_416	contig_seqid416
Contig_417	contig_seqid417
Contig_418	contig_seqid418
Contig_419	contig_seqid419
Contig_420	contig_seqid420
Contig_421	contig_seqid421
Contig_422	contig_seqid422
Contig_423	contig_seqid423
Contig_424	contig_seqid424
Contig_425	contig_seqid425
Contig_426	contig_seqid426
Contig_427	contig_seqid427
Contig_428	contig_seqid428
Contig_429	contig_seqid429
Contig_430	contig_seqid430
Contig_431	contig_seqid431
Contig_432	contig_seqid432
Contig_433	contig_seqid433
Contig_434	contig_seqid434
Contig_435	contig_seqid435
Contig_436	contig_seqid436
Contig_437	contig_seqid437
Contig_438	contig_seqid438
Contig_439	contig_seqid439
Contig_440	contig_seqid440
Contig_441	contig_seqid441
Contig_442	contig_seqid442
Contig_443	contig_seqid443
Contig_444	contig_seqid444
Contig_445	contig_seqid445
Contig_446	contig_seqid446
Contig_447	contig_seqid447
Contig_448	contig_seqid448
Contig_449	contig_seqid449
Contig_450	contig_seqid450
Contig_451	contig_seqid451
Contig_452	contig_seqid452
Contig_453	contig_seqid453
Contig_454	contig_seqid454
Contig_455	contig_seqid455
Contig_456	contig_seqid456
Contig_457	contig_seqid457
Contig_458	contig_seqid458
Contig_459	contig_seqid459
Contig_460	contig_seqid460
Contig_461	contig_seqid461
Contig_462	contig_seqid462
Contig_463	contig_seqid463
Contig_464	contig_seqid464
Contig_465	contig_seqid465
Contig_466	contig_seqid466
Contig_467	contig_seqid467
Contig_468	contig_seqid468
Contig_469	contig_seqid469
Contig_470	contig_seqid470
Contig_471	contig_seqid471
Contig_472	contig_seqid472
Contig_473	contig_seqid473
Contig_474	contig_seqid474
Contig_475	contig_seqid475
Contig_476	contig_seqid476
Contig_477	contig_seqid477
Contig_478	contig_seqid478
Contig_479	contig_seqid479
Contig_480	contig_seqid480
Contig_481	contig_seqid481
Contig_482	contig_seqid482
Contig_483	contig_seqid483
Contig_484	contig_seqid484
Contig_485	contig_seqid485
Contig_486	contig_seqid486
Contig_487	contig_seqid487
Contig_488	contig_seqid488
Contig_489	contig_seqid489
Contig_490	contig_seqid490
Contig_491	contig_seqid491
Contig_492	contig_seqid492
Contig_493	contig_seqid493
Contig_494	contig_seqid494
Contig_495	contig_seqid495
Contig_496	contig_seqid496
Contig_497	contig_seqid497
Contig_498	contig_seqid498
Contig_499	contig_seqid499
Contig_500	contig_seqid500
Contig_501	contig_seqid501
Contig_502	contig_seqid502
Contig_503	contig_seqid503
Contig_504	contig_seqid504
Contig_505	contig_seqid505
Contig_506	contig_seqid506
Contig_507	contig_seqid507
Contig_508	contig_seqid508
Contig_509	contig_seqid509
Contig_510	contig_seqid510
Contig_511	contig_seqid511
Contig_512	contig_seqid512
Contig_513	contig_seqid513
Contig_514	contig_seqid514
Contig_515	contig_seqid515
Contig_516	contig_seqid516
Contig_517	contig_seqid517
Contig_518	contig_seqid518
Contig_519	contig_seqid519
Contig_520	contig_seqid520
Contig_521	contig_seqid521
Contig_522	contig_seqid522
Contig_523	contig_seqid523
Contig_524	contig_seqid524
Contig_525	contig_seqid525
Contig_526	contig_seqid526
Contig_527	contig_seqid527
Contig_528	contig_seqid528
Contig_529	contig_seqid529
Contig_530	contig_seqid530
Contig_531	contig_seqid531
Contig_532	contig_seqid532
Contig_533	contig_seqid533
Contig_534	contig_seqid534
Contig_535	contig_seqid535
Contig_536	contig_seqid536
Contig_537	contig_seqid537
Contig_538	contig_seqid538
Contig_539	contig_seqid539
Contig_540	contig_seqid540
Contig_541	contig_seqid541
Contig_542	contig_seqid542
Contig_543	contig_seqid543
Contig_544	contig_seqid544
Contig_545	contig_seqid545
Contig_546	contig_seqid546
Contig_547	contig_seqid547
Contig_548	contig_seqid548
Contig_549	contig_seqid549
Contig_550	contig_seqid550
Contig_551	contig_seqid551
Contig_552	contig_seqid552
Contig_553	contig_seqid553
Contig_554	contig_seqid554
Contig_555	contig_seqid555
Contig_556	contig_seqid556
Contig_557	contig_seqid557
Contig_558	contig_seqid558
Contig_559	contig_seqid559
Contig_560	contig_seqid560
Contig_561	contig_seqid561
Contig_562	contig_seqid562
Contig_563	contig_seqid563
Contig_564	contig_seqid564
Contig_565	contig_seqid565
Contig_566	contig_seqid566
Contig_567	contig_seqid567
Contig_568	contig_seqid568
Contig_569	contig_seqid569
Contig_570	contig_seqid570
